q100_1,q100_2,q100_3,q100_4,q100_5,q100_6,q100_7,q100_8,q200_1,q200_2,q200_3,q200_4,q200_5,q300_1,q300_2,q300_3,SATIS,LOYALTY,NPS_COMPOSITE,SATIS_SUM,WEIGHTED_SATIS
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-98,-98,-98,-99,-98,-99,-99,-98,-99,-99,-99,-98,-98,-98,-99,-98,-98.0,,-99.0,,
-98,-98,-98,-98,-99,-99,-99,-99,-98,-98,-99,-98,-99,-99,-98,-99,-98.0,,-99.0,,
-98,-99,-99,-98,-99,-99,-98,-99,-98,-98,-99,-98,-98,-98,-98,-98,-98.0,,-98.0,,
-99,-98,-98,-98,-99,-98,-99,-99,-98,-98,-98,-99,-99,-99,-99,-99,-98.0,,-99.0,,
-98,-98,-99,-98,-99,-99,-98,-98,-98,-98,-99,-98,-99,-99,-99,-99,-98.0,,-99.0,,
-99,-98,-98,-99,-99,-98,-99,-99,-99,-98,-99,-98,-99,-98,-99,-98,-98.0,,-99.0,,
-99,-99,-98,-98,-99,-98,-99,-99,-99,-99,-98,-99,-99,-98,-99,-98,-98.0,,-99.0,,
